Gemeindekennziffer;Gemeindename;Gemeindecode;PLZ;Bezirk_id
10101;Eisenstadt;10101;7000;101
10201;Rust;10201;7071;102
10301;Breitenbrunn am Neusiedler See;10301;7091;103
10302;Donnerskirchen;10302;7082;103
10303;Großhöflein;10303;7051;103
10304;Hornstein;10304;7053;103
10305;Klingenbach;10305;7013;103
10306;Leithaprodersdorf;10306;2443;103
10307;Mörbisch am See;10307;7072;103
10308;Müllendorf;10308;7052;103
10309;Neufeld an der Leitha;10309;2491;103
10310;Oggau am Neusiedler See;10310;7063;103
10311;Oslip;10311;7064;103
10312;Purbach am Neusiedler See;10312;7083;103
10313;Sankt Margarethen im Burgenland;10313;7062;103
10314;Schützen am Gebirge;10314;7081;103
10315;Siegendorf;10315;7011;103
10316;Steinbrunn;10316;7035;103
10317;Trausdorf an der Wulka;10317;7061;103
10318;Wimpassing an der Leitha;10318;2485;103
10319;Wulkaprodersdorf;10319;7041;103
10320;Loretto;10320;2443;103
10321;Stotzing;10321;2443;103
10322;Zillingtal;10322;7034;103
10323;Zagersdorf;10323;7012;103
10401;Bocksdorf;10401;7551;104
10402;Burgauberg-Neudauberg;10402;8291;104
10403;Eberau;10403;7521;104
10404;Gerersdorf-Sulz;10404;7542;104
10405;Güssing;10405;7540;104
10406;Güttenbach;10406;7536;104
10407;Heiligenbrunn;10407;7522;104
10408;Kukmirn;10408;7543;104
10409;Neuberg im Burgenland;10409;7537;104
10410;Neustift bei Güssing;10410;7540;104
10411;Olbendorf;10411;7534;104
10412;Ollersdorf im Burgenland;10412;7533;104
10413;Sankt Michael im Burgenland;10413;7535;104
10414;Stegersbach;10414;7551;104
10415;Stinatz;10415;7552;104
10416;Strem;10416;7522;104
10417;Tobaj;10417;7544;104
10418;Hackerberg;10418;8292;104
10419;Wörterberg;10419;8293;104
10420;Großmürbisch;10420;7540;104
10421;Inzenhof;10421;7540;104
10422;Kleinmürbisch;10422;7540;104
10423;Tschanigraben;10423;7540;104
10424;Heugraben;10424;7551;104
10425;Rohr im Burgenland;10425;7551;104
10426;Bildein;10426;7521;104
10427;Rauchwart;10427;7535;104
10428;Moschendorf;10428;7540;104
10501;Deutsch Kaltenbrunn;10501;7572;105
10502;Eltendorf;10502;7562;105
10503;Heiligenkreuz im Lafnitztal;10503;7561;105
10504;Jennersdorf;10504;8380;105
10505;Minihof-Liebau;10505;8384;105
10506;Mogersdorf;10506;8382;105
10507;Neuhaus am Klausenbach;10507;8385;105
10508;Rudersdorf;10508;7571;105
10509;Sankt Martin an der Raab;10509;8383;105
10510;Weichselbaum;10510;8382;105
10511;Königsdorf;10511;7563;105
10512;Mühlgraben;10512;8385;105
10601;Draßburg;10601;7021;106
10602;Forchtenstein;10602;7212;106
10603;Hirm;10603;7024;106
10604;Loipersbach im Burgenland;10604;7020;106
10605;Marz;10605;7221;106
10606;Mattersburg;10606;7210;106
10607;Neudörfl;10607;7201;106
10608;Pöttelsdorf;10608;7023;106
10609;Pöttsching;10609;7033;106
10610;Rohrbach bei Mattersburg;10610;7222;106
10611;Bad Sauerbrunn;10611;7202;106
10612;Schattendorf;10612;7022;106
10613;Sieggraben;10613;7223;106
10614;Sigleß;10614;7032;106
10615;Wiesen;10615;7203;106
10616;Antau;10616;7042;106
10617;Baumgarten;10617;7021;106
10618;Zemendorf-Stöttera;10618;7023;106
10619;Krensdorf;10619;7031;106
10701;Andau;10701;7163;107
10702;Apetlon;10702;7143;107
10703;Bruckneudorf;10703;2460;107
