Bundeslandkennziffer;Politischer Bezirk;Politischer Bez. Code;Bezirk_id
1;Eisenstadt(Stadt);101;01
1;Rust(Stadt);102;02
1;Eisenstadt-Umgebung;103;03
1;Güssing;104;04
1;Jennersdorf;105;05
1;Mattersburg;106;06
1;Neusiedl am See;107;07
1;Oberpullendorf;108;08
1;Oberwart;109;09
2;Klagenfurt Stadt;201;01
2;Villach Stadt;202;02
2;Hermagor;203;03
2;Klagenfurt Land;204;04
2;Sankt Veit an der Glan;205;05
2;Spittal an der Drau;206;06
2;Villach Land;207;07
2;Völkermarkt;208;08
2;Wolfsberg;209;09
2;Feldkirchen;210;10
3;Krems an der Donau(Stadt);301;01
3;Sankt Pölten(Stadt);302;02
3;Waidhofen an der Ybbs(Stadt);303;03
3;Wiener Neustadt(Stadt);304;04
3;Amstetten;305;05
3;Baden;306;06
3;Bruck an der Leitha;307;07
3;Gänserndorf;308;08
3;Gmünd;309;09
3;Hollabrunn;310;10
3;Horn;311;11
3;Korneuburg;312;12
3;Krems(Land);313;13
3;Lilienfeld;314;14
3;Melk;315;15
3;Mistelbach;316;16
3;Mödling;317;17
3;Neunkirchen;318;18
3;Sankt Pölten(Land);319;19
3;Scheibbs;320;20
3;Tulln;321;21
3;Waidhofen an der Thaya;322;22
3;Wiener Neustadt(Land);323;23
3;Zwettl;325;25
4;Linz(Stadt);401;01
4;Steyr(Stadt);402;02
4;Wels(Stadt);403;03
4;Braunau am Inn;404;04
4;Eferding;405;05
4;Freistadt;406;06
4;Gmunden;407;07
4;Grieskirchen;408;08
4;Kirchdorf an der Krems;409;09
4;Linz-Land;410;10
4;Perg;411;11
4;Ried im Innkreis;412;12
4;Rohrbach;413;13
4;Schärding;414;14
4;Steyr-Land;415;15
4;Urfahr-Umgebung;416;16
4;Vöcklabruck;417;17
4;Wels-Land;418;18
5;Salzburg(Stadt);501;01
5;Hallein;502;02
5;Salzburg-Umgebung;503;03
5;Sankt Johann im Pongau;504;04
5;Tamsweg;505;05
5;Zell am See;506;06
6;Graz(Stadt);601;01
6;Deutschlandsberg;603;03
6;Graz-Umgebung;606;06
6;Leibnitz;610;10
6;Leoben;611;11
6;Liezen;612;12
6;Murau;614;14
6;Voitsberg;616;16
6;Weiz;617;17
6;Murtal;620;20
6;Bruck-Mürzzuschlag;621;21
6;Hartberg-Fürstenfeld;622;22
6;Südoststeiermark;623;23
7;Innsbruck-Stadt;701;01
7;Imst;702;02
7;Innsbruck-Land;703;03
7;Kitzbühel;704;04
7;Kufstein;705;05
7;Landeck;706;06
7;Lienz;707;07
7;Reutte;708;08
7;Schwaz;709;09
8;Bludenz;801;01
8;Bregenz;802;02
8;Dornbirn;803;03
8;Feldkirch;804;04
9;Wien(Stadt);900;00
9;Wien  1.,Innere Stadt;901;01
9;Wien  2.,Leopoldstadt;902;02
9;Wien  3.,Landstraße;903;03
9;Wien  4.,Wieden;904;04
9;Wien  5.,Margareten;905;05
9;Wien  6.,Mariahilf;906;06
9;Wien  7.,Neubau;907;07
9;Wien  8.,Josefstadt;908;08
9;Wien  9.,Alsergrund;909;09
9;Wien 10.,Favoriten;910;10
9;Wien 11.,Simmering;911;11
9;Wien 12.,Meidling;912;12
9;Wien 13.,Hietzing;913;13
9;Wien 14.,Penzing;914;14
9;Wien 15.,Rudolfsheim-Fünfhaus;915;15
9;Wien 16.,Ottakring;916;16
9;Wien 17.,Hernals;917;17
9;Wien 18.,Währing;918;18
9;Wien 19.,Döbling;919;19
9;Wien 20.,Brigittenau;920;20
9;Wien 21.,Floridsdorf;921;21
9;Wien 22.,Donaustadt;922;22
9;Wien 23.,Liesing;923;23
Quelle: STATISTIK AUSTRIA. erstellt am 18.10.2018 13:16:26;;;
