NAME;STATIONSHOEHE;LAENGE DEZI;BREITE DEZI
ANDAU;118;17.03333282;47.77249908
BAD TATZMANNSDORF ;347;16.22499847;47.33805466
BERNSTEIN;631;16.26138878;47.40833282
BRUCKNEUDORF;166;16.84499931;48.01277924
EISENSTADT-NORDOST;184;16.53833389;47.85416794
GÜSSING;215;16.32194328;47.0625
KLEINZICKEN;265;16.33555603;47.20750046
KROISEGG;444;16.04222107;47.3786087
LUTZMANNSBURG;201;16.6455555;47.46527863
MATTERSBURG;284;16.38916588;47.74499893
NEUDORF/LANDSEE;429;16.38138771;47.56277847
NEUSIEDL AM SEE;117;16.82888794;47.94916534
PODERSDORF;116;16.83444405;47.86611176
RECHNITZ  ;308;16.45416641;47.30138779
WÖRTERBERG;404;16.09666634;47.22610855
ARRIACH;890;13.85249996;46.72777557
BAD BLEIBERG;909;13.68444443;46.62527847
BAD EISENKAPPEL;623;14.59333324;46.49055481
DELLACH;628;13.08277702;46.74194336
DÖLLACH;1071;12.90250015;46.9580574
FEISTRITZ ob BLEIBURG;532;14.76666641;46.55888748
FELDKIRCHEN;546;14.09694386;46.7219429
FERLACH;459;14.31416702;46.53110886
FLATTNITZ;1437;14.03611088;46.94083405
FRESACH;683;13.68527699;46.71527863
FRIESACH;640;14.40583324;46.95861053
GMÜND;738;13.53416634;46.90277863
HERMAGOR;562;13.49222183;46.60972214
KANZELHÖHE;1520;13.90194416;46.67722321
KATSCHBERG;1635;13.61472225;47.0605545
KLAGENFURT-FLUGHAFEN;450;14.31833267;46.6483345
KORNAT;990;12.88888836;46.68500137
KÖTSCHACH-MAUTHEN;722;12.99722195;46.67722321
LOIBL/TUNNEL;1097;14.24916649;46.44388962
MALLNITZ;1197;13.16666603;46.99194336
MILLSTATT;721;13.57277679;46.80805588
OBERVELLACH;688;13.1944437;46.93527603
PÖRTSCHACH;450;14.16527748;46.63083267
PREITENEGG;1034;14.91499996;46.93805695
SPITTAL/DRAU;542;13.48722172;46.79055405
ST.ANDRÄ/LAVANTTAL;403;14.82805443;46.76416779
ST.VEIT/GLAN;463;14.38555527;46.73916626
VILLACHER ALPE;2117;13.67277718;46.60361099
VILLACH-STADT;493;13.87388802;46.61805344
VÖLKERMARKT-GOLDBRUNNHOF;466;14.63916588;46.67083359
WEISSENSEE-GATSCHACH;949;13.28583336;46.71860886
WEITENSFELD;704;14.19083309;46.84916687
ALLENTSTEIG;599;15.36694336;48.69083405
AMSTETTEN;266;14.8949995;48.10889053
ASPANG;454;16.10138893;47.57500076
BAD DEUTSCH-ALTENBURG ;169;16.9066658;48.13638687
BÄRNKOPF;969;15.00277805;48.39110947
BERNDORF;337;16.10111046;47.93916702
BRUNN AM GEBIRGE;291;16.26999855;48.10694504
BUCHBERG;460;15.94499969;48.2136116
GÄNSERNDORF;163;16.7136116;48.33777618
GARS/KAMP;273;15.69999981;48.59194565
GROSS-ENZERSDORF;154;16.55916595;48.19972229
GUMPOLDSKIRCHEN;212;16.28083229;48.03583145
GUTENSTEIN/MARIAHILFBERG;709;15.87611008;47.87138748
HIRSCHENKOGEL;1318;15.83333302;47.62333298
HOHE WAND/HOCHKOGELHAUS;937;16.03499985;47.82221985
HOHENAU;154;16.90444374;48.61639023
